시도,시군구,설치장소,도로명주소,위도,경도
전라남도,목포시,뉴세브란스약국,전라남도 목포시 수문로 8 (대안동),,
전라남도,목포시,신세계약국,전라남도 목포시 부흥로 97 (옥암동),,
전라남도,목포시,민중약국,전라남도 목포시 만호로 40 (항동),,
전라남도,목포시,성남약국,전라남도 목포시 용당로 197 (용당동),,
전라남도,목포시,미보약국,전라남도 목포시 동명주택길 1 (산정동),,
전라남도,목포시,한일약국,전라남도 목포시 호남로 71 (호남동),,
전라남도,목포시,성모약국,전라남도 목포시 번화로 39-1 (중앙동1가),,
전라남도,목포시,장약국,전라남도 목포시 산정로 118 (산정동),,
전라남도,목포시,수정약국,전라남도 목포시 해안로 283 (동명동),,
전라남도,목포시,진고개약국,전라남도 목포시 석현로 18-2 (석현동),,
전라남도,목포시,대동약국,전라남도 목포시 노적봉길 18 (죽동),,
전라남도,목포시,화신약국,전라남도 목포시 북교길 35 (북교동),,
전라남도,목포시,건승약국,전라남도 목포시 서산로 7 (금화동),,
전라남도,목포시,평화약국,전라남도 목포시 노적봉길 2 (명륜동),,
전라남도,여수시,여수시 보건소,전라남도 여수시 시청서4길 47  ,,
전라남도,여수시,여수시 보건소(중부보건지소),전라남도 여수시 여서동5길 21-1(여서동) ,,
전라남도,여수시,여수시 보건소(동부보건지소),전라남도 여수시 동문로 99(공화동) ,,
전라남도,여수시,여수시보건소(치매안심센터),전라남도 여수시 신월로 794(봉강동) ,,
전라남도,여수시,돌산보건지소,전라남도 여수시 돌산읍 방답길 55,,
전라남도,여수시,우두보건지소,전라남도 여수시 돌산읍 강남로 32,,
전라남도,여수시,화양보건지소,전라남도 여수시 화양면 화양로 1436-9,,
전라남도,여수시,화정보건지소,전라남도 여수시 화정면 백야 해안길 40,,
전라남도,여수시,상암보건지소,전라남도 여수시 상암3길 9(상암동),,
전라남도,여수시,남면보건지소,전라남도 여수시 남면 금오로 858,,
전라남도,여수시,연도보건지소,전라남도 여수시 남면 연도서부안길17,,
전라남도,여수시,개도보건지소,전라남도 여수시 화정면 개도화산1길 8,,
전라남도,여수시,삼산보건지소,전라남도 여수시 삼산면 거문길 122,,
전라남도,여수시,초도보건지소 ,전라남도 여수시 삼산면 대동길 78,,
전라남도,여수시,송도보건진료소,전라남도 여수시 돌산읍 송도길 38-2,,
전라남도,여수시,금성보건진료소,전라남도 여수시 돌산읍 돌산로 617-2,,
전라남도,여수시,율림보건진료소,전라남도 여수시 돌산읍 향일암로 269-6,,
전라남도,여수시,죽포보건진료소,전라남도 여수시 돌산읍 돌산로 2080-8,,
전라남도,여수시,평사보건진료소,전라남도 여수시 돌산읍 평사로 560-6,,
전라남도,여수시,복산보건진료소,전라남도 여수시 소라면 달천길 135,,
전라남도,여수시,사곡보건진료소,전라남도 여수시 소라면 상사길 21,,
전라남도,여수시,봉두보건진료소,전라남도 여수시 소라면 당촌길 16,,
전라남도,여수시,상봉보건진료소,전라남도 여수시 율촌면 상봉1길 28,,
전라남도,여수시,감도보건진료소,전라남도 여수시 화양면 감도길 2,,
전라남도,여수시,장수보건진료소,전라남도 여수시 화양면 장수자매길 8-2,,
전라남도,여수시,세포보건진료소,전라남도 여수시 화양면 장수로 19,,
전라남도,여수시,유송보건진료소,전라남도 여수시 남면 솔고지길 71-11,,
전라남도,여수시,안도보건진료소,전라남도 여수시 남면 안도해변길 49-7,,
전라남도,여수시,화태보건진료소,전라남도 여수시 남면 화태길 28,,
전라남도,여수시,두라보건진료소,전라남도 여수시 남면 대두길 87-1,,
전라남도,여수시,횡간보건진료소,전라남도 여수시 남면 횡간중앙길 14-2,,
전라남도,여수시,월호보건진료소,전라남도 여수시 화정면 월호골길 13,,
전라남도,여수시,제도보건진료소,전라남도 여수시 화정면 제도해안길 63,,
전라남도,여수시,상하화보건진료소,전라남도 여수시 화정면 아랫꽃섬 1길4-5,,
전라남도,여수시,낭도보건진료소,전라남도 여수시 화정면 여산길 62,,
전라남도,여수시,적금보건진료소,전라남도 여수시 화정면 적금뒷등길27,,
전라남도,여수시,여자보건진료소,전라남도 여수시 화정면 마파지길 17,,
전라남도,여수시,서도보건진료소,전라남도 여수시 삼산면 장촌3길 9-6,,
전라남도,여수시,동도보건진료소,전라남도 여수시 삼산면 죽촌1길24-1,,
전라남도,여수시,손죽보건진료소,전라남도 여수시 삼산면 손죽새터길 5-1,,
전라남도,여수시,경호보건진료소,전라남도 여수시 대경도 2길 5,,
전라남도,여수시,묘도보건진료소,전라남도 여수시 묘도 10길6(묘도동),,
전라남도,여수시,돌산읍사무소,전라남도 여수시 돌산읍 돌산로 1253-6 ,,
전라남도,여수시,소라면사무소,전라남도 여수시 소라면 덕양로 389 ,,
전라남도,여수시,율촌면사무소,전라남도 여수시 율촌면 율촌로 100-9 ,,
전라남도,여수시,화양면사무소,전라남도 여수시 화양면 화양로 1438-5 ,,
전라남도,여수시,남면사무소,전라남도 여수시 금오로 862 ,,
전라남도,여수시,화정면사무소,전라남도 여수시 화정면 백야3길 8-11 ,,
전라남도,여수시,동문동주민센터,전라남도 여수시 관문1길 19(관문동) ,,
전라남도,여수시,한려동주민센터,전라남도 여수시 수정2길 9(수정동) ,,
전라남도,여수시,중앙동주민센터,전라남도 여수시 중앙로 99(중앙동),,
전라남도,여수시,충무동주민센터,전라남도 여수시 연등1길 26(연등동) ,,
전라남도,여수시,광림동주민센터,전라남도 여수시 광무3길 38-5(광무동) ,,
전라남도,여수시,서강동주민센터,전라남도 여수시 서교1길 28(서교동) ,,
전라남도,여수시,대교동주민센터,전라남도 여수시 봉산남2길 7-7(봉산동) ,,
전라남도,여수시,국동주민센터,전라남도 여수시 국동남5길 22(국동) ,,
전라남도,여수시,월호동주민센터,전라남도 여수시 신월로 598(신월동) ,,
전라남도,여수시,여서동주민센터,전라남도 여수시 여서동5길 17(여서동) ,,
전라남도,여수시,문수동주민센터,전라남도 여수시 여문1로 71(문수동) ,,
전라남도,여수시,미평동주민센터,전라남도 여수시 미평3길 42(미평동) ,,
전라남도,여수시,둔덕동주민센터,전라남도 여수시 좌수영로 509(둔덕동) ,,
전라남도,여수시,만덕동주민센터,전라남도 여수시 덕충안길 95(덕충동) ,,
전라남도,여수시,쌍봉동주민센터,전라남도 여수시 흥국로 25(학동) ,,
전라남도,여수시,시전동주민센터,전라남도 여수시 시전6길 16(신기동) ,,
전라남도,여수시,여천동주민센터,전라남도 여수시 무선로 190(선원동) ,,
전라남도,여수시,주삼동주민센터,전라남도 여수시 여수산단로 35(주삼동) ,,
전라남도,여수시,삼일동주민센터,전라남도 여수시 상암3길 13(상암동) ,,
전라남도,여수시,묘도동주민센터,전라남도 여수시 묘도1길 60(묘도동) ,,
전라남도,순천시,순천시보건소,"전라남도 순천시 중앙로 232 (석현동, 순천시문화건강센터)",,
전라남도,순천시,황전보건지소,전라남도 순천시 황전면 백야중길 12,,
전라남도,순천시,별량보건지소,전라남도 순천시 별량면 별량장길 25,,
전라남도,순천시,승주보건지소,전라남도 순천시 승주읍 승평길 15,,
전라남도,순천시,상사보건지소,전라남도 순천시 상사면 상사초등길 36 (보건지소),,
전라남도,순천시,외서보건지소,전라남도 순천시 외서면 쌍향수길 440 (보건지소),,
전라남도,순천시,월등보건지소,전라남도 순천시 월등면 월등로 571 (월등보건지소),,
전라남도,순천시,낙안보건지소,전라남도 순천시 낙안면 민속마을길 1690 (낙안면보건지소),,
전라남도,순천시,송광보건지소,전라남도 순천시 송광면 쌍향수길 1338,,
전라남도,순천시,주암보건지소,전라남도 순천시 주암면 동주로 2090-1,,
전라남도,순천시,창촌보건진료소,전라남도 순천시 주암면 주목로 12,,
전라남도,순천시,후곡보건진료소,전라남도 순천시 송광면 후곡안길 97,,
전라남도,순천시,신월보건진료소,전라남도 순천시 월등면 월등로 360 (신월보건진료소),,
전라남도,순천시,학산보건진료소,전라남도 순천시 별량면 일출길 191,,
전라남도,순천시,비촌보건진료소,전라남도 순천시 황전면 비촌1길 83 (비촌보건진료소),,
전라남도,순천시,망룡보건진료소,전라남도 순천시 월등면 복사골길 116 (망룡보건진료소),,
전라남도,순천시,운룡보건진료소,전라남도 순천시 주암면 운룡2길 25 (운룡보건진료소),,
전라남도,순천시,창녕보건진료소,전라남도 순천시 낙안면 민속마을길 1209,,
전라남도,순천시,쌍지보건진료소,전라남도 순천시 상사면 쌍지길 6 (보건소),,
전라남도,순천시,구상보건진료소,전라남도 순천시 서면 수통목길 3 (구상보건진료소),,
전라남도,순천시,회덕보건진료소,전라남도 순천시 황전면 삽재팔동길 393,,
전라남도,순천시,판교보건진료소,전라남도 순천시 서면 판교안길 162-1,,
전라남도,순천시,마산보건진료소,전라남도 순천시 별량면 고장안길 3 (보건소),,
전라남도,순천시,도정보건진료소,전라남도 순천시 승주읍 도정송정길 11 (도정보건진료소),,
전라남도,순천시,송기보건진료소,전라남도 순천시 별량면 송산송기길 140 (송기보건진료소),,
전라남도,순천시,선월보건진료소,전라남도 순천시 해룡면 선월길 43 (선월보건진료소),,
전라남도,순천시,마륜보건진료소,전라남도 순천시 상사면 민속마을길 280-8,,
전라남도,순천시,하사보건진료소,전라남도 순천시 해룡면 하사길 79 (하사보건진료소),,
전라남도,순천시,어왕보건진료소,전라남도 순천시 주암면 한동길 100 (어왕보건진료소),,
전라남도,순천시,신전보건진료소,전라남도 순천시 낙안면 금산신전길 17 (신전보건진료소),,
전라남도,순천시,평죽보건진료소,전라남도 순천시 황전면 농소길 9 (평죽보건진료소),,
전라남도,순천시,도신보건진료소,전라남도 순천시 외서면 도신길 96,,
전라남도,순천시,승주읍 행정복지세넡,전라남도 순천시 승주읍 승주로 731,,
전라남도,순천시,주암면 행정복지센터,전라남도 순천시 주암면 동주로 2047,,
전라남도,순천시,송광면 행정복지센터,전라남도 순천시 송광면 쌍향수길 1338,,
전라남도,순천시,외서면 행정복지센터,전라남도 순천시 외서면 썅향수길 440,,
전라남도,순천시,낙안면 행정복지센터,전라남도 순천시 낙안면 민속마을길 1690 ,,
전라남도,순천시,별량면 행정복지센터,전라남도 순천시 별량면 별량장길 25,,
전라남도,순천시,상사면 행정복지센터,전라남도 순천시 상사면 상사호길 330,,
전라남도,순천시,해룡면 행정복지센터,전라남도 순천시 해룡면 해룡로 1128-10,,
전라남도,순천시,서면 행정복지센터,전라남도 순천시 서면 임촌동길 94,,
전라남도,순천시,황전면 행정복지센터,전라남도 순천시 황전면 백야중길 12,,
전라남도,순천시,월등면 행정복지센터,전라남도 순천시 월등면 월등로 571,,
전라남도,순천시,향동 행정복지센터,전라남도 순천시 임청대길 1(옥천동),,
전라남도,순천시,매곡동 행정복지센터,전라남도 순천시 북정2길 63(매곡동),,
전라남도,순천시,삼산동 행정복지센터,전라남도 순천시 삼산로 3(석현동),,
전라남도,순천시,조곡동 행정복지센터,전라남도 순천시 자경1길 13(조곡동),,
전라남도,순천시,덕연동 행정복지센터,전라남도 순천시 덕연로41(연향동),,
전라남도,순천시,풍덕동 행정복지센터,전라남도 순천시 풍덕1길 40(풍덕동),,
전라남도,순천시,남제동 행정복지센터,전라남도 순천시 남정5길 1(남정동),,
전라남도,순천시,저전동 행정복지센터,전라남도 순천시 청사1길 43(저전동),,
전라남도,순천시,장천동 행정복지센터,전라남도 순천시 중앙로22(장천동),,
전라남도,순천시,중앙동 행정복지센터,전라남도 순천시 강남로 128(동외동),,
전라남도,순천시,도사동 행정복지센터,전라남도 순천시 순천만길 27(덕월동),,
전라남도,순천시,왕조1동 행정복지센터,전라남도 순천시 조례신대길 6(조례동),,
전라남도,순천시,왕조2동 행정복지센터,전라남돗 순천시 왕궁길 50(조례동),,
전라남도,순천시,희망약국,"전라남도 순천시 백강로 367, 1층 (조례동)",,
전라남도,순천시,원약국,전라남도 순천시 팔마로 211 (덕암동),,
전라남도,순천시,알파약국,전라남도 순천시 해룡면 지봉로 372-1,,
전라남도,순천시,보리약국,"전라남도 순천시 중앙5길 5, 보리약국 (장천동)",,
전라남도,순천시,미소큰약국,전라남도 순천시 조례1길 10-21(조례동),,
전라남도,순천시,사랑약국,"전라남도 순천시 해룡면 신대4길 4-25, 1층",,
전라남도,순천시,가곡우리약국,전라남도 순천시 고지1길 4(가곡동),,
전라남도,순천시,호수약국,"전라남도 순천시 백강로 367, 1층 (조례동)",,
전라남도,순천시,튼튼약국,"전라남도 순천시 이수로 319, 1층 (조례동)",,
전라남도,순천시,모아약국,전라남도 순천시 해룡면 순광로 224,,
전라남도,순천시,하하약국,"전라남도 순천시 해룡면 향매로 135, 금화빌딩 101호",,
전라남도,순천시,하늘빛약국,"전라남도 순천시 조례1길 10-27, 1층 (조례동)",,
전라남도,순천시,달달약국,"전라남도 순천시 용당삼산로 17, 1층 103호 (용당동)",,
전라남도,순천시,도담약국,"전라남도 순천시 장선배기1길 9, 1층 (조례동)",,
전라남도,순천시,힘찬약국,"전라남도 순천시 용당삼산로 11, 1층 (용당동)",,
전라남도,순천시,키다리약국,"전라남도 순천시 해룡면 매안로 145, 101B호",,
전라남도,순천시,대학약국,"전라남도 순천시 중앙로 314, 1층 (가곡동)",,
전라남도,순천시,봄봄약국,"전라남도 순천시 봉화3길 14-28, 1층 105호 (조례동)",,
전라남도,순천시,신대약국,전라남도 순천시 해룡면 향매로 97,,
전라남도,순천시,웰약국,"전라남도 순천시 충효로 15, 메가박스 1층 109호 (덕암동)",,
전라남도,순천시,친절한김약국,"전라남도 순천시 삼산로 61, 1층 5호 (용당동)",,
전라남도,순천시,십자당약국,전라남도 순천시 순광로 6 (조례동),,
전라남도,순천시,스타약국,"전라남도 순천시 해룡면 향매로 99, SM빌딩 1층",,
전라남도,순천시,신대타운온누리약국,"전라남도 순천시 해룡면 향매로 59, 신대타운 1층 102호",,
전라남도,순천시,365보배약국,"전라남도 순천시 봉화2길 99, 2층 (조례동)",,
전라남도,순천시,은혜약국,전라남도 순천시 팔마로 126 (조곡동),,
전라남도,순천시,가까운평화약국,"전라남도 순천시 해룡면 순광로 234-9, 가동 1층 101호",,
전라남도,순천시,새하나약국,"전라남도 순천시 팔마로 217, 1층 (덕암동)",,
전라남도,순천시,중앙승주약국,"전라남도 순천시 장명로 7, 1층 (장천동)",,
전라남도,순천시,장천우리약국,"전라남도 순천시 중앙로 14, 1층 (장천동)",,
전라남도,순천시,국제약국,"전라남도 순천시 중앙1길 4, 국제약국 1층 (장천동)",,
전라남도,순천시,순천종로약국,"전라남도 순천시 신월큰길 1-4, 1층 (조례동)",,
전라남도,순천시,바른약국,"전라남도 순천시 조례못등길 16, 금당빌딩 1층 (조례동)",,
전라남도,순천시,건강드림약국,전라남도 순천시 순광로 14 (조례동),,
전라남도,순천시,한마음약국,"전라남도 순천시 장선배기1길 9-4, 1층 (조례동)",,
전라남도,순천시,해맑은약국,"전라남도 순천시 이수로 321, 1층 (조례동)",,
전라남도,순천시,정약국,"전라남도 순천시 이수로 305, 1층 (조례동)",,
전라남도,순천시,모범약국,"전라남도 순천시 삼산로 103-11, 1층 (용당동)",,
전라남도,순천시,오천온누리약국,"전라남도 순천시 오천7길 28, 1층 105호 (오천동)",,
전라남도,순천시,양약건민대형약국,"전라남도 순천시 중앙로 83, 1층 (저전동)",,
전라남도,순천시,종로약국,"전라남도 순천시 우석2길 55, 1층 (장천동)",,
전라남도,순천시,장생약국,"전라남도 순천시 연향상가7길 18, 1층 (연향동)",,
전라남도,순천시,순천약국,전라남도 순천시 주암면 주암호길 3,,
전라남도,순천시,맑은약국,"전라남도 순천시 팔마로 212, 1층 (풍덕동, 이타워빌딩)",,
전라남도,순천시,미소온누리약국,"전라남도 순천시 중앙로 4, 1층 (장천동, 순천장례식장)",,
전라남도,순천시,미소약국,"전라남도 순천시 해룡면 향매로 67, 1층",,
전라남도,순천시,척척약국,"전라남도 순천시 팔마로 205, 엠제이빌딩 107호 (덕암동)",,
전라남도,순천시,옥천약국,"전라남도 순천시 남문천변길 6 (장천동, 건강약국)",,
전라남도,순천시,하영약국,"전라남도 순천시 기적의도서관1길 3 (조례동, 제일병원)",,
전라남도,순천시,편한약국,"전라남도 순천시 중앙로 68, 1층 (장천동)",,
전라남도,순천시,오가네약국,"전라남도 순천시 해룡면 신대로 116, 1층",,
전라남도,순천시,온누리감초당약국,"전라남도 순천시 연향1로 55, 1층 (연향동)",,
전라남도,순천시,순천새미래약국,"전라남도 순천시 팔마로 3, 1층 (장천동, 삼익빌딩)",,
전라남도,순천시,하나로약국,"전라남도 순천시 연향중앙상가길 29, 1층 (연향동)",,
전라남도,순천시,세브란스약국,"전라남도 순천시 이수로 315, 1층 (조례동)",,
전라남도,순천시,365웃장대형약국,"전라남도 순천시 중앙로 136, 1층 (매곡동)",,
전라남도,순천시,다솜약국,"전라남도 순천시 신월큰길 7, 나동 1층 (조례동)",,
전라남도,순천시,새로운약국,전라남도 순천시 백강로 375-11 (조례동),,
전라남도,순천시,조은약국,전라남도 순천시 우명길 35 (연향동),,
전라남도,순천시,플러스조은약국,"전라남도 순천시 신월큰길 7, 가동 1층 (조례동)",,
전라남도,순천시,더드림약국,전라남도 순천시 신월큰길 9 (조례동),,
전라남도,순천시,365일연향대형약국,"전라남도 순천시 연향3로 11, 1층 1A 4호~6호 (연향동)",,
전라남도,순천시,금당약국,전라남도 순천시 해룡면 장선배기길  284,,
전라남도,순천시,소망약국,전라남도 순천시 대석길 31 (연향동),,
전라남도,순천시,정다운온누리약국,전라남도 순천시 율산길 52 (연향동),,
전라남도,순천시,큰승주약국,전라남도 순천시 중앙로 104 (남내동),,
전라남도,순천시,행림당약국,전라남도 순천시 중앙로 166 (매곡동),,
전라남도,순천시,늘 평화로운 약국,전라남도 순천시 양율길 176 (대룡동),,
전라남도,순천시,백제약국,전라남도 순천시 팔마로 103 (조곡동),,
전라남도,순천시,남부종합약국,전라남도 순천시 중앙초등아랫길 80 (풍덕동),,
전라남도,순천시,행복주는약국,전라남도 순천시 중앙로 67 (저전동),,
전라남도,순천시,밝은약국,전라남도 순천시 이수로 317 (조례동),,
전라남도,순천시,성신약국,전라남도 순천시 중앙로 129 (매곡동),,
전라남도,순천시,승주약국,전라남도 순천시 순광로 209 (조례동),,
전라남도,순천시,누엘약국,전라남도 순천시 조례1길 10-26 (조례동),,
전라남도,순천시,다정약국,전라남도 순천시 장선배기1길 6-10 (조례동),,
전라남도,순천시,왕지약국,전라남도 순천시 백연길 104 (조례동),,
전라남도,순천시,현대온누리약국,전라남도 순천시 장선배기1길 4 (조례동),,
전라남도,순천시,메디타운정겨운약국,전라남도 순천시 신월큰길 13 (조례동),,
전라남도,순천시,효성온누리약국,전라남도 순천시 우명길 41 (연향동),,
전라남도,순천시,비타민약국,전라남도 순천시 백연길 98 (조례동),,
전라남도,순천시,행복한온누리약국,전라남도 순천시 조례못등길 23 (조례동),,
전라남도,순천시,편안한김약국,전라남도 순천시 순광로 199 (조례동),,
전라남도,순천시,큰녹십자약국,전라남도 순천시 중앙로 8-1 (장천동),,
전라남도,순천시,세명약국,전라남도 순천시 호남길 3 (행동),,
전라남도,순천시,배들약국,"전라남도 순천시 서면 배들이길 17, 상가동 1층 101호 (선평배들마을아파트)",,
전라남도,순천시,메디팜프라자약국,전라남도 순천시 연향중앙상가길 27 (연향동),,
전라남도,순천시,참조은약국,전라남도 순천시 해룡면 장선배기길 256,,
